customer_id,age,gender,tenure_months,subscription_type,monthly_spend,support_tickets,login_frequency,churn
108,48,Male,30,Standard,624.47,2,1,0
109,53,Male,2,Basic,559.53,0,19,1
110,30,Female,19,Basic,444.54,1,14,1
111,45,Female,29,Basic,467.51,5,25,0
112,54,Female,12,Premium,763.06,5,27,0
113,60,Female,53,Premium,787.93,6,10,0
114,64,Female,22,Basic,965.85,1,20,0
115,36,Female,35,Standard,520.56,5,12,0
116,30,Male,12,Basic,693.46,9,27,1
117,36,Female,30,Basic,348.95,5,6,0
118,29,Male,48,Standard,292.73,9,6,0
119,52,Male,37,Basic,859.01,7,22,0
120,69,Female,46,Premium,886.92,3,6,0
121,48,Female,33,Standard,794.85,0,12,1
122,34,Female,15,Basic,912.72,4,18,1
123,19,Female,32,Basic,499.99,1,15,0
124,19,Female,7,Standard,965.27,7,22,0
125,35,Female,35,Standard,721.28,0,26,0
126,51,Male,18,Standard,836.85,1,19,1
127,62,Male,39,Basic,943.02,6,2,1
128,56,Female,53,Standard,803.57,9,3,1
129,25,Male,9,Standard,965.92,1,18,0
130,48,Male,4,Standard,196.82,7,16,1
131,20,Female,47,Basic,249.92,8,15,0
132,33,Male,12,Standard,804.48,1,27,1
133,21,Female,26,Premium,969.57,2,29,0
134,25,Female,40,Basic,455.8,4,26,0
135,21,Female,5,Basic,625.3,4,4,0
136,48,Female,16,Premium,192.91,0,9,1
137,48,Male,38,Standard,975.26,0,16,1
138,55,Male,38,Standard,305.02,5,5,0
139,20,Male,2,Standard,635.44,6,13,0
140,69,Female,24,Basic,813.76,9,2,0
141,29,Female,7,Basic,223.65,1,1,0
142,44,Female,13,Premium,782.03,7,29,0
143,20,Male,50,Premium,355.61,1,25,0
144,69,Male,37,Standard,875.19,5,20,0
145,24,Male,15,Standard,314.62,8,20,0
146,63,Female,35,Standard,393.73,4,14,0
147,59,Male,21,Premium,242.49,8,20,0
148,63,Male,45,Premium,756.11,7,19,1
149,48,Female,38,Standard,121.05,6,5,0
150,44,Male,49,Basic,756.19,5,7,1
151,57,Male,8,Standard,950.16,5,28,0
152,41,Female,27,Basic,688.97,2,11,1
153,23,Male,58,Basic,643.73,4,22,1
154,69,Female,34,Premium,296.18,1,15,0
155,45,Female,58,Standard,719.17,8,11,1
156,54,Female,32,Standard,730.83,6,12,0
157,18,Male,49,Premium,512.84,9,26,0
158,65,Male,30,Premium,811.05,9,12,1
159,37,Female,38,Standard,339.45,4,23,0
160,25,Male,36,Standard,264.71,5,1,0
161,62,Male,51,Basic,750.04,9,4,0
162,65,Female,57,Basic,836.87,7,13,0
163,56,Male,45,Premium,361.64,2,1,0
164,43,Male,15,Premium,895.89,3,14,0
165,24,Female,46,Standard,921.28,0,20,0
166,49,Male,41,Premium,589.54,0,9,1
167,43,Male,58,Standard,611.78,8,6,0
168,62,Female,2,Premium,754.81,4,20,1
169,47,Male,47,Basic,536.36,6,18,0
170,61,Female,52,Basic,177.68,7,14,0
171,32,Male,12,Standard,456.39,0,20,1
172,60,Male,1,Standard,134.55,3,11,0
173,35,Male,58,Basic,676.26,2,14,0
174,30,Female,34,Premium,285.22,5,20,0
175,29,Female,1,Basic,524.1,1,2,0
176,65,Female,50,Premium,196.19,1,3,1
177,20,Female,49,Premium,482.44,7,26,0
178,34,Female,31,Standard,866.74,4,8,0
179,59,Female,5,Standard,285.01,8,17,1
180,56,Female,58,Premium,824.19,1,12,0
181,36,Female,38,Standard,985.39,9,21,0
182,22,Female,21,Premium,639.74,5,12,0
183,38,Male,2,Standard,254.55,5,26,1
184,43,Female,47,Basic,443.67,9,12,0
185,61,Female,48,Premium,855.55,4,11,0
186,24,Female,59,Basic,786.58,6,29,0
187,57,Female,4,Basic,295.72,2,8,0
188,57,Male,20,Premium,266.93,3,2,1
189,54,Female,6,Basic,263.55,7,13,0
190,62,Female,32,Basic,224.17,1,22,1
191,59,Female,1,Basic,739.22,2,25,1
192,30,Male,11,Standard,910.42,8,16,0
193,21,Female,53,Basic,906.61,1,28,0
194,69,Male,5,Premium,551.28,2,20,0
195,53,Male,45,Basic,738.47,9,8,1
196,19,Male,38,Basic,812.23,2,2,1
197,58,Male,41,Basic,297.82,3,28,0
198,33,Male,41,Basic,938.73,4,18,0
199,65,Male,8,Standard,501.55,4,14,1
200,37,Male,21,Basic,258.89,5,3,1
201,63,Male,58,Premium,765.08,4,22,0
202,44,Female,3,Standard,591.8,1,11,0
203,22,Male,22,Basic,538.16,1,29,1
204,49,Female,38,Standard,820.76,3,18,0
205,22,Male,57,Standard,953.56,2,26,0
206,56,Male,32,Basic,138.77,2,16,0
207,44,Female,18,Standard,128.81,5,11,1
208,69,Male,7,Basic,731.0,3,17,0
209,33,Male,43,Premium,885.91,2,28,0
210,31,Male,12,Premium,505.66,3,2,0
211,68,Female,59,Premium,423.25,0,14,0
212,57,Male,28,Premium,786.14,8,17,0
213,22,Male,29,Premium,471.42,0,5,0
214,23,Female,4,Basic,690.06,5,8,1
215,42,Female,16,Standard,333.38,2,13,1
216,27,Male,10,Standard,491.98,6,20,0
217,40,Male,50,Standard,844.61,8,15,0
218,41,Female,22,Premium,329.92,9,21,0
219,52,Male,54,Basic,103.47,3,27,0
220,36,Female,33,Standard,745.75,3,8,0
221,39,Male,28,Premium,572.11,9,15,0
222,28,Male,26,Basic,824.46,3,25,1
223,61,Male,4,Standard,648.57,6,5,0
224,58,Female,39,Standard,760.79,5,4,0
225,64,Male,43,Basic,908.21,0,28,1
226,36,Female,38,Premium,315.18,8,28,1
227,19,Male,54,Standard,160.29,8,10,0
228,62,Female,6,Basic,703.61,3,5,0
229,58,Female,34,Standard,275.6,9,17,1
230,30,Male,6,Basic,410.35,2,17,1
231,63,Male,32,Premium,245.47,2,16,1
232,32,Male,22,Standard,433.29,1,21,0
233,67,Male,48,Basic,875.22,4,18,0
234,36,Male,58,Standard,113.77,7,27,0
235,48,Male,58,Basic,369.33,9,14,1
236,63,Male,52,Basic,784.66,3,19,0
237,34,Female,39,Basic,370.91,4,7,0
238,46,Female,11,Standard,101.52,0,16,0
239,40,Female,30,Standard,796.46,1,1,1
240,62,Male,35,Basic,757.27,3,17,1
241,29,Male,19,Basic,790.9,5,16,0
242,21,Female,57,Standard,577.91,6,6,1
243,23,Male,6,Standard,311.47,4,23,0
244,46,Male,51,Basic,958.69,6,1,0
245,23,Female,41,Premium,246.76,3,23,0
246,51,Male,55,Standard,973.5,2,29,0
247,41,Male,16,Premium,679.71,3,18,0
248,36,Female,27,Basic,423.97,6,17,1
249,27,Male,21,Standard,784.32,5,4,1
250,53,Male,10,Basic,661.95,5,28,0
251,45,Male,41,Standard,428.64,1,23,0
252,25,Male,48,Premium,313.67,7,16,0
253,41,Male,27,Basic,632.81,0,9,0
254,44,Female,39,Basic,241.27,8,20,0
255,44,Male,17,Basic,731.47,8,20,1
256,47,Male,18,Premium,106.05,6,9,0
257,50,Male,44,Basic,688.98,9,17,0
258,36,Male,26,Basic,465.02,5,3,0
259,23,Male,28,Premium,103.38,3,1,1
260,40,Female,15,Premium,327.19,4,3,1
261,64,Female,2,Premium,188.06,0,13,0
262,64,Male,35,Standard,946.31,5,17,0
263,28,Female,59,Standard,129.15,0,11,0
264,69,Male,37,Standard,430.44,4,8,0
265,50,Male,50,Premium,368.17,3,22,1
266,34,Female,35,Premium,967.62,4,25,1
267,35,Female,35,Basic,731.95,8,2,0
268,49,Male,34,Standard,842.5,3,5,0
269,36,Male,9,Standard,630.78,3,17,0
270,46,Female,58,Basic,237.25,2,5,0
271,39,Female,30,Basic,526.69,1,10,0
272,46,Female,56,Standard,925.46,7,29,0
273,31,Male,18,Standard,875.99,8,26,0
274,33,Male,35,Premium,180.69,6,8,1
275,39,Female,11,Premium,309.36,3,3,0
276,36,Female,10,Standard,797.54,2,13,1
277,58,Male,13,Basic,895.79,5,9,0
278,34,Male,35,Premium,908.55,1,17,0
279,49,Male,36,Standard,505.85,1,8,1
280,23,Female,30,Standard,666.68,0,11,1
281,31,Female,58,Basic,708.47,5,9,0
282,42,Male,3,Standard,146.95,4,16,0
283,50,Female,47,Premium,131.81,1,22,0
284,64,Male,57,Standard,554.81,5,3,0
285,65,Female,40,Standard,218.97,4,25,1
286,55,Female,46,Premium,467.27,7,29,1
287,45,Female,27,Basic,396.93,9,15,0
288,52,Male,8,Premium,608.11,3,13,0
289,40,Male,9,Premium,223.87,8,2,0
290,55,Male,56,Standard,810.77,3,5,1
291,60,Male,23,Standard,144.65,1,24,0
292,61,Male,19,Basic,104.69,0,22,1
293,26,Male,33,Basic,357.84,2,3,0
294,41,Male,56,Standard,934.38,2,6,0
295,18,Female,47,Standard,723.03,7,17,0
296,26,Female,29,Standard,540.13,2,27,0
297,45,Male,30,Premium,849.61,6,18,0
298,19,Female,37,Standard,439.14,3,13,0
299,39,Male,8,Basic,769.46,5,26,0
300,43,Male,20,Premium,761.35,5,12,0
301,27,Female,26,Basic,962.45,6,16,0
302,40,Male,18,Premium,706.26,4,9,0
303,60,Male,9,Premium,552.95,4,26,0
304,25,Female,37,Premium,983.19,1,5,0
305,48,Female,48,Basic,678.42,9,18,0
306,29,Male,32,Standard,507.05,5,16,1
307,66,Female,15,Premium,248.6,5,20,0
308,18,Female,3,Basic,549.47,7,23,0
309,27,Female,31,Premium,102.04,3,26,0
310,69,Female,44,Basic,426.53,4,17,0
311,18,Male,34,Basic,701.28,3,21,0
312,37,Female,25,Basic,230.76,9,20,1
313,53,Female,41,Basic,899.79,8,3,0
314,61,Female,46,Standard,322.21,3,21,1
315,43,Female,41,Basic,259.51,2,24,0
316,37,Male,36,Premium,459.54,1,20,0
317,20,Male,27,Standard,259.06,1,28,0
318,33,Male,49,Premium,709.16,5,3,1
319,64,Female,39,Basic,389.03,5,27,0
320,61,Female,58,Basic,243.6,7,12,0
321,25,Male,26,Basic,222.15,3,11,0
322,59,Female,1,Basic,161.39,4,9,0
323,50,Female,11,Basic,597.03,4,13,1
324,60,Male,50,Premium,528.12,2,3,0
325,65,Male,1,Basic,557.17,8,29,0
326,65,Male,53,Standard,562.17,2,10,0
327,22,Female,11,Standard,576.68,0,2,0
328,19,Female,54,Standard,153.55,0,14,0
329,30,Male,11,Premium,813.86,4,29,0
330,63,Male,38,Basic,731.79,7,6,0
331,42,Female,13,Standard,590.77,7,10,0
332,26,Female,6,Basic,105.04,6,13,0
333,36,Female,24,Standard,806.98,4,3,1
334,27,Male,52,Basic,784.36,1,28,1
335,65,Female,50,Standard,379.35,0,3,0
336,44,Female,52,Basic,783.38,4,13,0
337,64,Male,3,Standard,828.58,9,4,0
338,22,Female,45,Premium,240.26,1,14,0
339,54,Female,20,Standard,788.91,1,23,1
340,52,Female,53,Premium,303.78,9,19,1
341,28,Male,19,Standard,607.28,2,20,1
342,59,Female,57,Standard,196.97,0,26,1
343,21,Male,8,Premium,518.03,3,1,1
344,68,Male,53,Basic,539.33,2,21,0
345,42,Female,54,Standard,533.25,4,10,1
346,32,Female,38,Premium,198.0,9,9,1
347,24,Female,14,Standard,394.37,3,25,0
348,27,Male,20,Basic,531.36,6,19,0
349,50,Female,7,Standard,200.0,8,11,0
350,39,Female,37,Premium,783.84,1,6,0
351,20,Female,54,Standard,771.2,2,20,0
352,18,Male,39,Premium,127.97,4,20,1
353,30,Female,35,Premium,458.22,6,5,1
354,18,Female,41,Standard,148.06,6,8,0
355,49,Male,25,Premium,107.53,4,5,1
356,44,Male,6,Premium,446.89,4,8,1
357,51,Female,21,Premium,148.02,2,4,0
358,25,Male,54,Basic,399.44,7,10,0
359,60,Female,22,Premium,681.09,2,27,0
360,67,Female,35,Basic,245.01,7,14,0
361,50,Male,31,Basic,110.62,1,19,0
362,66,Male,4,Premium,151.02,2,27,0
363,56,Male,26,Premium,104.4,6,19,0
364,22,Female,58,Premium,660.71,1,23,0
365,27,Male,55,Basic,708.51,3,9,0
366,26,Female,45,Standard,880.35,7,28,0
367,30,Male,51,Standard,300.22,0,5,1
368,26,Female,2,Basic,804.93,3,26,0
369,25,Female,12,Basic,896.46,8,19,1
370,20,Female,21,Standard,596.11,3,13,0
371,38,Male,23,Basic,635.26,0,6,0
372,55,Female,23,Premium,645.48,2,25,0
373,33,Male,37,Standard,325.5,6,10,0
374,23,Female,47,Standard,763.3,8,29,0
375,31,Female,35,Standard,561.6,2,16,1
376,38,Female,38,Premium,482.72,4,1,0
377,21,Male,57,Standard,329.16,2,16,0
378,61,Female,7,Standard,107.24,8,25,0
379,37,Male,57,Standard,389.27,7,25,0
380,23,Male,54,Standard,972.79,5,11,1
381,53,Male,14,Standard,240.55,3,12,0
382,19,Male,10,Premium,712.9,9,23,0
383,21,Female,1,Standard,645.85,6,17,0
384,28,Female,22,Standard,317.7,0,8,0
385,45,Female,45,Premium,217.27,5,7,0
386,37,Female,34,Basic,442.04,5,25,0
387,36,Male,52,Basic,425.44,2,27,0
388,22,Female,59,Premium,152.37,2,16,0
389,23,Female,47,Basic,327.24,6,23,1
390,65,Male,24,Premium,347.85,5,8,0
391,38,Male,47,Premium,519.74,3,7,0
392,28,Female,41,Premium,969.7,6,19,1
393,54,Female,12,Basic,141.12,1,25,0
394,36,Female,15,Premium,553.56,5,10,1
395,31,Male,31,Basic,897.0,9,11,0
396,30,Male,15,Premium,827.75,6,7,0
397,64,Female,2,Premium,367.92,6,11,0
398,36,Male,31,Basic,221.65,1,1,0
399,46,Male,37,Premium,424.21,6,28,0
400,40,Female,44,Standard,187.01,4,17,1
401,51,Male,24,Standard,534.71,6,20,0
402,24,Female,27,Basic,384.56,9,5,0
403,60,Male,50,Standard,633.22,7,8,1
404,35,Female,33,Standard,573.15,3,23,1
405,60,Female,57,Standard,921.84,2,12,0
406,42,Male,41,Standard,282.16,6,9,0
407,25,Male,19,Basic,323.13,5,8,0
408,43,Male,9,Premium,106.46,4,19,0
409,48,Male,24,Standard,723.67,3,17,0
410,68,Female,36,Basic,184.35,9,27,0
411,43,Female,54,Premium,336.91,5,21,1
412,22,Female,29,Standard,646.37,4,18,0
413,38,Male,18,Standard,365.79,6,25,0
414,62,Male,10,Standard,817.6,1,15,0
415,46,Male,10,Premium,714.85,0,21,0
416,53,Female,14,Premium,137.49,9,4,0
417,41,Male,43,Basic,874.91,7,5,0
418,68,Female,41,Standard,784.32,3,13,1
419,28,Male,32,Premium,323.84,5,27,1
420,41,Male,6,Basic,975.04,5,28,0
421,45,Female,31,Standard,780.96,7,7,0
422,18,Male,27,Basic,622.06,8,9,0
423,18,Male,12,Standard,498.51,9,19,1
424,26,Male,29,Standard,547.12,5,7,1
425,19,Female,15,Premium,744.16,8,1,0
426,59,Male,22,Standard,512.23,9,29,1
427,67,Female,23,Basic,707.75,3,22,0
428,27,Male,4,Basic,631.37,0,28,0
429,65,Male,48,Standard,295.43,9,22,0
430,35,Male,24,Standard,525.46,3,9,0
431,55,Female,33,Basic,908.5,0,22,1
432,59,Female,51,Premium,615.35,7,4,0
433,47,Female,51,Standard,775.27,6,17,1
434,67,Female,53,Premium,870.22,3,18,0
435,35,Female,39,Standard,546.67,9,20,0
436,50,Female,31,Premium,777.33,0,26,1
437,48,Male,13,Premium,431.68,2,11,0
438,41,Male,53,Basic,670.88,0,16,1
439,19,Female,43,Basic,348.03,7,23,0
440,39,Female,13,Premium,218.93,9,13,0
441,26,Male,49,Standard,458.66,3,21,0
442,26,Female,40,Basic,854.54,7,14,0
443,26,Male,56,Premium,825.44,2,15,1
444,56,Male,50,Standard,393.25,2,27,0
445,42,Male,15,Premium,640.49,6,29,1
446,45,Male,45,Standard,244.81,3,4,0
447,53,Male,50,Basic,150.21,1,24,0
448,45,Female,6,Premium,908.71,8,2,0
449,57,Male,15,Premium,225.98,7,4,1
450,27,Male,34,Premium,590.34,3,10,0
451,28,Male,44,Standard,278.8,1,19,1
452,19,Male,46,Premium,652.64,5,20,0
453,58,Male,17,Premium,499.37,9,1,1
454,52,Male,44,Standard,163.82,1,5,1
455,64,Male,47,Basic,505.82,4,7,0
456,39,Female,26,Basic,862.61,3,20,1
457,63,Female,30,Premium,933.59,9,23,1
458,34,Male,51,Standard,741.57,7,17,0
459,45,Female,46,Premium,494.15,8,27,0
460,32,Male,46,Basic,951.62,9,11,0
461,30,Male,52,Premium,644.87,3,21,0
462,59,Male,18,Basic,210.97,4,28,0
463,39,Male,50,Basic,795.13,1,13,0
464,61,Female,2,Premium,681.37,6,21,1
465,62,Male,48,Standard,954.73,9,26,0
466,23,Female,10,Standard,684.94,6,5,0
467,47,Male,16,Premium,253.35,2,26,0
468,55,Male,16,Premium,861.82,3,15,0
469,69,Female,28,Standard,330.67,6,20,0
470,69,Female,10,Premium,262.27,0,9,0
471,25,Female,42,Premium,512.41,2,24,0
472,43,Female,47,Premium,633.09,6,22,1
473,60,Male,41,Basic,116.03,9,10,1
474,41,Female,25,Basic,671.29,4,20,0
475,49,Male,17,Premium,841.72,2,16,0
476,28,Female,16,Premium,596.93,0,5,0
477,51,Female,16,Standard,384.37,2,16,0
478,68,Male,31,Basic,149.62,3,15,0
479,34,Female,43,Premium,167.15,1,8,1
480,55,Male,19,Premium,100.05,2,5,0
481,18,Male,40,Premium,181.2,3,9,1
482,48,Female,33,Premium,739.11,1,16,1
483,54,Female,43,Basic,209.78,4,5,0
484,66,Male,27,Basic,443.93,0,16,0
485,40,Male,53,Premium,226.38,4,19,1
486,39,Male,6,Basic,486.43,0,17,1
487,43,Male,6,Premium,476.21,8,3,0
488,24,Male,16,Standard,697.92,5,1,1
489,43,Female,52,Basic,788.59,2,7,1
490,22,Male,50,Standard,354.58,0,14,1
491,20,Female,25,Basic,542.73,4,10,0
492,60,Male,4,Basic,147.73,6,11,0
493,32,Female,32,Premium,953.3,8,8,0
494,57,Male,41,Premium,398.05,3,25,0
495,40,Female,18,Basic,818.16,6,1,0
496,60,Female,32,Premium,786.36,5,10,1
497,33,Female,51,Premium,264.41,6,8,1
498,68,Female,59,Standard,973.15,5,2,1
499,59,Male,24,Standard,859.45,0,7,1
500,57,Male,5,Standard,211.11,0,2,1
